Botanical Name;Height;Spread;Spacing;USDA Hardiness Zone;Bloom Color;Common Name;Soil Moisture Preference;Exposure;Flowering Months;Attracts Wildlife;Extra Attributes;Deer Resistant;Foliage Color;Growth Rate;Salt Tolerance;Season of Interest;Phytoremediation
Campsis radicans;30-40 ft;5-10 ft; ;5-9;Orange, Red;Trumpet creeper;Moist/Well-Drained;Full Sun to Partial Shade;September,August,July,June;Pollinators,Hummingbirds,Butterflies;Drought Tolerant,Climbing,Clay Soil,Naturalizing,Long Blooming,East-Coast Native;Deer Resistant;Green;Fast;Low;Summer,Spring; ;
Clematis virginiana;20 ft;3-6 ft; ;3-9;White;Virgin's bower;Moist;Full Sun to Full Shade;August,July,September;Pollinators,Butterflies;Naturalizing,Fragrant;Deer Resistant;Green; ; ; ; ;
